As@1,As@2,As@5,As@10,P@1,P@2,P@5,P@10,H@1,H@2,H@5,H@10,ACC@1,ACC@2,ACC@5,ACC@10,R@1,R@2,R@5,R@10,MRR,Filename,Parent Folder
0.01717567604233012,0.03435135208466024,0.08587838021165072,0.17175676042330143,0.154,0.14,0.1445500000000003,0.12950515873015825,0.0024316553212676414,0.004397396371713492,0.010046045817793125,0.01544272982947219,0.004,0.0075,0.01516666666666665,0.022425396825396855,0.0024316553212676414,0.004397396371713492,0.010046045817793125,0.01544272982947219,0.20883221228463825,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_nouns_oneshot_commasep.txt,multialignet/Meta-Llama-3-70B-AWQ
0.031264700343131745,0.06252940068626349,0.15632350171565826,0.3126470034313165,0.086,0.072,0.05763333333333343,0.05425158730158752,0.0022678836236832665,0.0037918352829252695,0.007722005845879163,0.012409864231092041,0.005,0.01,0.01593333333333332,0.022152380952380965,0.0022678836236832665,0.0037918352829252695,0.007722005845879163,0.012409864231092041,0.09953649293661393,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_adjectives_oneshot_commasep.txt,multialignet/Meta-Llama-3-70B-AWQ
0.01717567604233012,0.03435135208466024,0.08587838021165072,0.17175676042330143,0.285,0.266,0.2677999999999987,0.2894555555555555,0.004380369627179001,0.008199304394678083,0.020921350528328178,0.04512560178597956,0.011,0.0155,0.03379999999999995,0.07362222222222235,0.004380369627179001,0.008199304394678083,0.020921350528328178,0.04512560178597956,0.326712510936775,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_nouns_zeroshot_commasep.txt,multialignet/Meta-Llama-3-70B-Instruct-FP8
0.031264700343131745,0.06252940068626349,0.15632350171565826,0.3126470034313165,0.174,0.144,0.14240000000000042,0.15609999999999943,0.004714689831689419,0.007926675957047012,0.01983548982839754,0.043037630309288415,0.014,0.017,0.041400000000000034,0.07410000000000018,0.004714689831689419,0.007926675957047012,0.01983548982839754,0.043037630309288415,0.22333595231737638,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_adjectives_zeroshot_commasep.txt,multialignet/Meta-Llama-3-70B-Instruct-FP8
0.01717567604233012,0.03435135208466024,0.08587838021165072,0.17175676042330143,0.409,0.399,0.3761999999999985,0.3820888888888893,0.006300734776106803,0.01251261835094004,0.02974136027752214,0.06030549702278108,0.01,0.0225,0.05380000000000013,0.10117777777777748,0.006300734776106803,0.01251261835094004,0.02974136027752214,0.06030549702278108,0.311055681306997,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_nouns_zeroshot_json.txt,multialignet/Meta-Llama-3-70B-Instruct-FP8
0.014051234982050012,0.028102469964100023,0.07025617491025014,0.1405123498205003,0.197,0.1715,0.1893999999999995,0.2215222222222218,0.002566830021070825,0.004476786379692122,0.012130544315433818,0.028599719854590804,0.012,0.02,0.048000000000000084,0.08333333333333334,0.002566830021070825,0.004476786379692122,0.012130544315433818,0.028599719854590804,0.2794539738426346,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_verbs_zeroshot_commasep.txt,multialignet/Meta-Llama-3-70B-Instruct-FP8
0.031264700343131745,0.06252940068626349,0.15632350171565826,0.3126470034313165,0.24,0.221,0.21439999999999945,0.2179694444444438,0.006355432896877062,0.011968614224301038,0.029434319411520762,0.0608206365023944,0.017,0.03,0.05820000000000017,0.10643333333333313,0.006355432896877062,0.011968614224301038,0.029434319411520762,0.0608206365023944,0.25082360715050356,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_adjectives_zeroshot_json.txt,multialignet/Meta-Llama-3-70B-Instruct-FP8
0.014051234982050012,0.028102469964100023,0.07025617491025014,0.1405123498205003,0.204,0.1945,0.21799999999999928,0.26109999999999983,0.0025478779502975074,0.00492987199642212,0.014028018847782072,0.03381728645415013,0.014,0.026,0.05720000000000017,0.10689999999999968,0.0025478779502975074,0.00492987199642212,0.014028018847782072,0.03381728645415013,0.32073930544429735,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_verbs_oneshot_commasep.txt,multialignet/Meta-Llama-3-70B-Instruct-FP8
0.031264700343131745,0.06252940068626349,0.15632350171565826,0.3126470034313165,0.339,0.3395,0.3249999999999986,0.32268888888888875,0.009424813803761175,0.018462656184626308,0.04440554140936399,0.08827770687948505,0.026,0.05,0.09460000000000059,0.16133333333333263,0.009424813803761175,0.018462656184626308,0.04440554140936399,0.08827770687948505,0.31439209956709957,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_adjectives_oneshot_json.txt,multialignet/Meta-Llama-3-70B-Instruct-FP8
0.014051234982050012,0.028102469964100023,0.07025617491025014,0.1405123498205003,0.433,0.4235,0.41799999999999915,0.40843055555555513,0.005532790316859522,0.01068958370579851,0.02677549906053348,0.05217854919895785,0.029,0.0565,0.11240000000000072,0.16076666666666614,0.005532790316859522,0.01068958370579851,0.02677549906053348,0.05217854919895785,0.3038269841269841,t_0.4__top_p_0.95__max_new_tokens_100__file_multialignet_verbs_oneshot_json.txt,multialignet/Meta-Llama-3-70B-Instruct-FP8
